city,x,y
A Coruna,-300.0,275.0
Alava,57.0,262.0
Albacete,100.0,-60.0
Alicante,193.0,-90.0
Almeria,80.0,-205.0
Asturias,-165.0,298.0
Avila,-79.0,67.0
Badajoz,-170.0,-76.0
Balearic Islands,360.0,-41.0
Barcelona,355.0,160.0
Burgos,-1.0,215.0
Caceres,-157.0,1.0
Cadiz,-135.0,-240.0
Cantabria,-30.0,287.0
Castellon,238.0,45.0
Ceuta,-83.0,-293.0
Ciudad Real,-18.0,-60.0
Cordoba,-78.0,-133.0
Cuenca,97.0,20.0
Girona,394.0,204.0
Granada,5.0,-195.0
Guadalajara,60.0,95.0
Guipuzcoa,110.0,285.0
Huelva,-200.0,-163.0
Huesca,220.0,200.0
Jaen,-1.0,-130.0
La Rioja,71.0,210.0
Las Palmas,-275.0,-343.0
Leon,-145.0,240.0
Lleida,300.0,195.0
Lugo,-230.0,275.0
Madrid,-5.0,65.0
Malaga,-59.0,-225.0
Melilla,31.0,-330.0
Murcia,130.0,-130.0
Navarre,120.0,245.0
Ourense,-240.0,200.0
Palencia,-47.0,190.0
Pontevedra,-365.0, 200.0
Salamanca,-145.0,95.0
Santa Cruz De Tenerife,-430.0,-275.0
Segovia,-24.0,116.0
Seville,-130.0,-170.0
Soria,60.0,160.0
Tarragona,285.0,123.0
Teruel,170.0,76.0
Toledo,-50.0,11.0
Valencia,175.0,-20.0
Valladolid,-60.0,155.0
Vizcaya,68.0,300.0
Zamora,-130.0,166.0
Zaragoza,155.0,151.0